代碼,股本,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
2905,112.25,17.94,1.0,-109.49,-109.01,271.71,,,,2024/08,
2912,103.96,26.22,8.28,7.46,-0.11,16.19,,,,2024/08,
2915,110.43,7.27,0.79,-7.9,2.32,77.38,,,,2024/08,
3003,15.57,22.64,2.05,24.1,4.0,11.64,,,,2024/08,
3005,61.31,16.47,3.21,1.77,3.87,27.63,,,,2024/09,
3006,28.62,0.0,1.94,20.25,7.67,139.92,,9月營收12.35億元,,2024/09,
3008,13.35,15.66,1.94,17.08,-7.04,51.89,,9月營收65.24億元,,2024/09,
3013,20.51,58.64,6.77,45.47,-22.88,165.34,,,,2024/08,
3014,16.60,13.98,3.81,10.29,16.14,2.61,,,,2024/08,
3015,18.73,19.14,0.71,-2.25,14.21,-7.1,,,,2024/08,
3016,28.85,61.46,3.44,0.15,0.29,148.76,,,,2024/08,
3017,38.76,35.28,9.8,18.41,-3.51,62.03,,,,2024/09,
3019,27.92,31.73,2.39,36.71,-9.6,50.0,,9月營收21.85億元,,2024/09,
3024,27.72,48.85,1.84,33.04,-8.63,0.69,,,,2024/08,
3025,5.67,24.31,5.89,43.17,14.61,-6.09,,,,2024/09,
3027,11.55,60.63,2.03,4.13,25.09,46.02,,,,2024/08,
3029,16.70,18.62,3.51,35.82,4.97,39.56,,,,2024/09,
3030,23.62,23.2,4.56,60.29,5.31,93.19,,9月營收5.58億元,,2024/09,
3032,11.33,11.22,2.51,-19.16,23.12,16.94,,,,2024/08,
3033,46.24,14.98,1.71,27.0,2.34,73.42,,,,2024/08,
3034,60.85,14.12,5.34,-6.72,-7.87,-11.54,,,,2024/09,
3035,26.06,54.66,5.37,-4.28,-3.75,-36.84,,,,2024/09,
3036,111.64,16.96,1.37,61.87,-14.35,118.15,,,,2024/08,
3037,152.51,22.57,2.34,17.42,7.68,-34.06,,,,2024/08,
3042,34.30,16.77,2.87,16.94,7.88,49.3,,9月營收13.00億元,,2024/09,
3044,52.56,13.16,2.26,7.81,1.11,82.11,,,,2024/08,
3045,372.33,25.86,4.36,8.63,2.24,6.35,,11/12法說會,,2024/08,2024/11/01
3047,22.37,0.0,3.18,112.12,-7.44,209.92,,,,2024/08,
3048,26.98,93.6,2.15,2.31,12.76,234.54,,,,2024/09,
3049,80.20,0.0,1.24,70.73,20.04,-42.64,,,,2024/08,
3050,15.50,31.02,1.22,16.85,-2.37,35.42,,,,2024/08,
3051,17.00,16.39,2.07,-7.61,1.84,635.18,,,,2024/08,
3056,35.60,314.0,1.61,-85.38,151.33,-133.57,,,,2024/08,
3059,27.88,27.96,1.06,-19.35,0.23,23.66,,,,2024/08,
3060,13.76,0.0,1.42,23.8,7.36,126.75,,,,2024/08,
3062,33.04,0.0,2.28,-15.87,-16.29,108.14,,,,2024/08,
3073,3.21,0.0,6.46,4.61,-8.37,-190.02,,,,2024/09,
3078,22.74,10.32,2.4,-27.92,2.25,-9.24,,,,2024/08,
3081,9.25,0.0,8.36,76.1,2.99,0.5,,9月營收1.10億元,,2024/09,
3092,10.66,0.0,1.6,-4.03,-9.96,40.0,,,,2024/08,
3105,42.39,43.53,1.55,-10.56,-17.69,187.5,,,,2024/09,
3131,2.92,74.92,13.2,38.83,-1.67,40.0,,,,2024/08,
3147,3.90,18.31,4.81,40.6,14.05,31.27,,,,2024/08,
3149,18.62,0.0,3.34,27.09,1.69,-41.47,,,,2024/08,
3163,8.05,25.72,5.12,-43.48,-4.92,40.66,,,,2024/08,
3167,8.28,308.33,5.74,114.73,3.55,151.96,,,,2024/08,
3188,18.63,10.88,2.51,14.96,-47.43,1211.95,,,,2024/09,
3189,45.67,365.0,1.58,33.77,-7.41,68.65,,9月營收26.47億元,,2024/09,
3209,23.25,13.08,1.86,22.44,-1.06,60.26,,,,2024/08,
3211,15.21,7.83,1.64,-9.25,-18.14,329.8,,9月營收11.54億元,,2024/09,
3213,5.87,9.75,2.34,-29.98,-15.64,84.03,,,,2024/09,
3217,9.01,15.13,3.27,11.79,16.42,66.95,,,,2024/08,
3227,14.92,28.35,3.81,31.67,-2.36,248.91,,,,2024/09,
3228,6.98,0.0,25.83,-8.24,-23.23,209.66,,9月營收0.24億元,,2024/09,
3229,6.43,160.71,2.27,-8.55,-9.85,229.96,,,,2024/08,
3230,8.60,15.3,4.29,-48.43,-16.01,395.41,,,,2024/08,
3231,289.68,18.05,2.63,23.23,4.21,96.57,,,,2024/08,
3234,11.15,0.0,5.53,-17.85,3.62,-3.06,,,,2024/09,
3260,29.59,8.5,1.68,-2.65,7.43,437.02,,,,2024/09,
3264,49.02,11.1,1.64,-16.43,-5.53,-15.18,,,,2024/09,
3265,13.63,18.3,2.66,6.07,-5.01,5.31,,,,2024/09,
3284,9.24,22.21,2.96,24.19,-48.69,250.04,,,,2024/08,
3289,7.44,28.96,3.68,25.8,28.93,40.62,,,,2024/08,
3290,12.47,20.29,2.01,9.08,3.13,140.1,,,,2024/08,
3293,28.18,22.22,11.86,31.02,-1.24,38.79,,,,2024/09,
3294,13.20,70.33,1.85,-8.01,2.55,112.61,,,,2024/08,
3305,13.42,30.29,2.02,40.18,-1.5,65.09,,,,2024/09,
3312,16.26,27.08,4.23,20.26,4.02,130.73,,,,2024/08,
3313,16.88,11.26,1.78,0.0,28.94,3319.56,,,2024/10/21,2024/08,
3321,9.72,0.0,3.13,21.39,-5.52,28.86,,,,2024/09,
3322,12.16,91.14,1.56,-35.04,-10.68,-541.89,,,,2024/08,
3324,9.15,35.34,8.29,20.13,4.14,100.31,,,,2024/08,
3338,8.79,20.92,3.23,-14.65,-2.95,55.92,,,,2024/08,
3339,6.66,85.34,2.7,30.65,6.53,59.78,,,,2024/08,
3356,8.98,10.47,2.55,-34.87,-17.47,137.68,2024/10/31,8月營收0.79億元,,2024/08,
