name,id,cg
泰茂,2230,"'電機','車用機械傳動設備及零配件'"
為升,2231,"'汽車','汽車:整車組裝、修理及技術服務'"
宇隆,2233,"'電機','五金元件及零配件','電機機"
謚源,2235,"'汽車',  '電機'"
英利-KY,2239,"'汽車','汽車:保險桿'"
艾姆勒,2241,"'汽車','汽車:保險桿',  '汽車:"
汎德永業,2247,"'汽車','汽車:銷售、進出口業務'"
巨鎧精密-創,2254,"'汽車','汽車:車燈','電機'"
光寶科,2301,"'LED','封裝_模組'"
麗正,2302,"'半導體','其他IC_二極體製造','半導體"
聯電,2303,"'半導體','晶圓製造'"
全友,2305,"'PC','印表機、傳真機、掃"
台達電,2308,"'LED','燈具_應用'"
金寶,2312,"'LED','燈具_應用'"
華通,2313,"'PCB','基板組裝加工及相關製造',"
台揚,2314,"'太空衛星科技','太空衛星科技:低軌衛星','太空衛"
楠梓電,2316,"'PCB','基板組裝加工及相關製造',"
鴻海,2317,"'通信網路','行動電話、衛星"
東訊,2321,"'通信網路','光通訊設備(如光纖電纜、光傳輸"
中環,2323,"'PC','光碟片'"
仁寶,2324,"'面板','電視','通信網路', "
國巨,2327,"'被動元件','濾波器、振盪器','被動元件"
廣宇,2328,"'PCB','基板組裝加工及相關製造',"
華泰,2329,"'半導體','IC封裝測試'"
台積電,2330,"'半導體','晶圓製造'"
精英,2331,"'PC','主機板'"
友訊,2332,'通信網路'
旺宏,2337,"'半導體','IC封裝測試','晶圓製"
光罩,2338,"'半導體','光罩'"
台亞,2340,"'LED','光源_磊晶'"
茂矽,2342,"'半導體','MOSFET','其他I"
華邦電,2344,"'半導體','DRAM製造','晶圓製"
智邦,2345,'通信網路'
聯強,2347,"'半導體','IC通路'"
海悅,2348,
錸德,2349,"'PC','光碟片'"
順德,2351,"'半導體','導線架','塑化'"
佳世達,2352,"'面板','監視器_顯示器'"
宏碁,2353,"'PC','伺服器'"
鴻準,2354,'其他'
敬鵬,2355,"'PCB','硬板、軟板、IC載板製造'"
英業達,2356,"'PC','筆電'"
華碩,2357,"'AI','智慧設備','移動"
廷鑫,2358,
所羅門,2359,
致茂,2360,"'LED','生產製程、檢測設備"
藍天,2362,"'PC','筆電'"
矽統,2363,"'半導體','IC設計'"
倫飛,2364,'PC'
昆盈,2365,'PC'
燿華,2367,"'PCB','硬板、軟板、IC載板製造'"
金像電,2368,"'PCB','硬板、軟板、IC載板製造'"
菱生,2369,"'半導體','IC封裝測試'"
大同,2371,"'LED','封裝_模組'"
震旦行,2373,
佳能,2374,"'PC','光學鏡片、鏡頭'"
凱美,2375,"'被動元件','電容器'"
技嘉,2376,"'電動車輛產業','大功率鋰電池芯_模組、"
微星,2377,"'PC','主機板'"
瑞昱,2379,"'半導體','網路通訊IC'"
虹光,2380,"'PC','印表機、傳真機、掃"
廣達,2382,"'運動科技','運動科技:穿戴式裝置','雲端運算',"
台光電,2383,"'PCB','銅箔基板','太空衛星科"
群光,2385,'PC'
精元,2387,'PC'
威盛,2388,'CPU'
云辰,2390,"'LED','燈具_應用'"
正崴,2392,"'面板',  '通信網路"
億光,2393,"'LED','封裝_模組'"
研華,2395,"'智慧電網','系統整合服務','運動科技'"
友通,2397,"'PC','工業電腦'"
映泰,2399,"'區塊鏈','區塊鏈:元件裝置','PC',"
