ema1,stockId,ema5,ema13,ema50,ema200
78.0,2354,79.597,82.114,79.762,69.468
39.55,2355,39.344,39.116,39.539,41.662
49.65,2356,49.553,49.57,48.715,49.015
595.0,2357,602.191,602.41,592.757,524.329
163.0,2359,152.821,143.931,143.777,127.84
403.0,2360,405.323,414.813,407.116,339.551
52.2,2362,53.267,55.345,56.335,52.671
73.0,2363,72.158,72.123,72.08,62.984
79.1,2364,79.729,82.894,86.633,92.878
42.4,2365,41.187,42.662,45.337,41.073
31.9,2367,31.364,31.457,31.835,30.797
234.0,2368,228.174,205.642,199.138,200.827
17.15,2369,17.399,18.039,18.568,20.093
45.3,2371,45.656,46.689,46.918,48.52
64.5,2373,65.437,66.561,67.248,70.156
56.6,2374,53.125,49.3,48.467,44.506
69.0,2375,69.168,69.686,68.215,67.058
268.0,2376,268.227,275.055,275.265,276.405
172.0,2377,170.732,172.577,174.124,174.533
545.0,2379,533.55,511.073,502.009,500.312
4.55,2380,4.674,5.053,5.522,6.542
275.0,2382,280.979,290.957,291.993,273.135
599.0,2383,589.002,527.393,489.547,445.424
143.0,2385,145.832,151.199,155.281,163.201
61.9,2387,62.216,62.364,60.844,58.445
103.0,2388,103.645,106.517,111.682,119.511
11.7,2390,11.874,12.476,12.839,13.287
73.4,2392,72.188,74.251,72.026,64.303
80.5,2393,80.663,79.334,79.104,72.145
351.5,2395,352.279,347.696,340.987,347.391
75.2,2397,75.436,76.528,77.137,74.812
27.5,2399,28.173,30.268,31.224,27.399
27.95,2401,27.982,28.561,29.198,30.662
37.7,2402,38.024,39.729,40.548,38.69
474.0,2404,463.645,433.268,399.453,351.441
19.95,2405,20.089,20.555,20.595,20.005
15.1,2406,15.525,16.571,17.573,19.297
30.75,2408,30.388,33.493,37.869,51.716
15.15,2409,15.513,15.769,16.08,16.857
123.5,2412,123.493,123.52,123.418,122.921
23.65,2413,24.598,25.934,25.38,24.875
36.95,2414,37.244,37.852,37.448,36.514
28.85,2415,29.063,28.553,27.783,27.313
45.0,2417,42.839,41.283,41.558,41.385
29.55,2419,29.972,31.963,32.293,31.863
62.0,2420,62.468,65.474,67.747,64.214
98.7,2421,99.948,101.069,100.426,102.26
40.7,2423,41.764,42.495,42.027,40.486
35.65,2425,36.204,38.404,39.844,40.294
21.5,2426,22.043,22.775,22.651,20.855
25.85,2427,26.329,26.526,26.648,26.876
155.0,2428,155.775,158.549,162.084,164.91
31.2,2429,31.518,30.353,29.788,27.153
30.75,2430,31.108,31.561,32.16,34.601
13.9,2431,14.196,15.269,15.356,13.817
30.85,2432,31.21,32.536,33.57,36.155
50.0,2433,50.068,50.248,50.397,51.165
31.3,2434,31.407,31.608,31.806,32.319
57.1,2436,56.511,55.935,56.315,58.976
35.4,2438,36.381,38.906,41.928,41.289
105.0,2439,105.615,107.043,110.527,116.11
12.5,2440,12.671,12.998,13.487,14.447
57.2,2441,57.508,57.469,57.703,59.141
24.3,2442,24.697,25.274,25.899,27.424
16.4,2444,16.555,16.881,16.123,14.424
109.5,2449,114.146,121.371,122.764,110.726
