代碼,股本,ROE%,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日,每股淨值
2458,30.4,5.3,4.0,-8.8,-9.7,-20.4,,5月營收9.69億元,,2025/05,,32.1
2464,20.4,0.1,2.4,1.9,-12.0,-72.3,2025/07/03,7/3除息0.35元,,2025/04,,25.0
2465,8.4,3.2,8.2,26.6,-8.3,124.4,,,,2025/04,,7.3
2467,15.7,3.4,5.6,11.9,-5.3,-8.8,,,,2025/04,,25.7
2468,7.0,1.5,3.3,0.3,-18.0,0.3,,,2025/06/30,2025/04,,18.2
2472,16.5,3.2,1.5,2.0,-10.8,14.0,,5月營收9.31億元,2025/06/25,2025/05,,51.5
2474,64.9,1.8,0.8,2.3,-5.9,-34.3,,,,2025/04,,257.5
2476,21.1,2.8,1.8,-2.7,-13.5,0.1,,5月營收5.64億元,2025/06/13,2025/05,,40.4
2477,15.9,0.4,0.7,-0.6,29.4,-20.2,,5月營收2.01億元,2025/06/25,2025/05,,26.8
2486,23.4,0.1,3.5,13.4,-4.1,226.7,2025/06/26,5月營收5.28億元,,2025/05,,22.0
2489,68.0,1.6,0.7,21.6,11.6,-61.4,,5月營收22.94億元,,2025/05,,20.3
2492,48.6,1.3,0.8,6.2,4.3,-7.6,,,2025/06/17,2025/04,,101.5
2495,27.4,1.9,1.3,-3.5,10.4,-28.7,,,2025/06/13,2025/04,,17.2
2497,12.3,3.6,1.9,-14.3,-13.0,36.2,,5月營收3.34億元,2025/06/11,2025/05,,21.4
2498,83.5,17.1,1.2,14.6,39.4,550.5,,5月營收2.19億元,2025/06/20,2025/05,,31.0
2501,116.0,0.6,0.8,-42.3,-15.4,-64.8,,,2025/06/13,2025/04,,24.1
2504,118.0,3.1,1.9,11.4,-0.8,1.5,2025/06/24,6/24除息2.80元,,2025/04,,23.4
2505,38.0,2.0,0.7,-99.0,-99.8,258.4,,,2025/06/26,2025/04,,27.2
2506,38.7,0.9,0.5,-57.4,-31.7,248.6,2025/06/19,6/19除息0.40元,2025/06/10,2025/04,,20.7
2511,162.3,0.2,0.6,-20.2,-16.4,-53.7,,,2025/06/17,2025/05,,15.8
2515,153.1,0.6,0.8,-14.2,-5.3,26.3,,,,2025/04,,14.5
2520,55.4,2.1,1.2,12.4,11.2,-33.1,,,,2025/04,,42.9
2524,36.9,2.6,0.9,-18.2,-53.1,177.7,,買回庫藏股期間屆滿、共3,2025/06/26,2025/04,,57.1
2527,27.0,-1.4,0.6,-84.5,-75.4,-2415.6,,,2025/06/19,2025/04,,47.5
2528,41.3,6.4,2.1,4039240.0,-20.1,1209.4,,,,2025/04,,16.4
2530,84.0,0.2,2.7,-76.5,99.6,-91.8,,,2025/06/26,2025/04,,12.1
2534,47.4,3.2,0.8,987.2,49.1,905.2,,,,2025/04,,31.8
2536,33.3,0.0,0.9,2141.2,-38.8,128.8,,5月營收8.66億元,2025/06/19,2025/05,,35.3
2537,30.1,1.5,0.8,-99.8,7.0,206.0,,,2025/06/25,2025/04,,14.8
2538,44.5,0.0,1.0,-89.1,0.2,-97.6,,5月營收0.20億元,2025/06/17,2025/05,,13.3
2539,99.4,10.4,3.9,53.6,-92.8,288.7,,,2025/06/20,2025/04,,15.9
2540,67.5,0.4,3.0,147.9,123.2,-89.8,,5月營收18.76億元,2025/06/30,2025/05,,24.4
2542,207.1,-0.2,1.6,-95.3,24.2,-114.1,,5月營收2.13億元,2025/06/17,2025/05,,26.0
