代碼,股本,ROE%,PE,PB,當月營收YOY,當月營收MOM,稅後淨利成長率%,除息日,公司動態,股東會日,營收月份,法說會日
2363,48.72,2.69,93.13,2.22,229.26,715.91,-28.75,,9月營收1.77億元,,2024/09,
2364,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2365,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2367,70.94,8.06,35.57,1.9,22.41,-4.72,771.77,,,,2024/09,
2368,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2371,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2374,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2376,66.99,13.83,24.16,4.64,64.31,8.41,179.56,,,,2024/09,
2377,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2379,51.29,17.26,20.32,5.56,10.96,-3.75,70.81,,9月營收98.30億元,,2024/09,
2382,386.26,14.21,23.43,6.32,57.86,6.84,62.93,,9月營收1551.10億元,,2024/09,
2383,34.52,23.51,16.5,4.59,36.97,3.47,97.73,,9月營收59.41億元,,2024/09,
2385,76.01,10.57,14.98,2.96,5.61,-0.35,25.63,,11/6法說會,,2024/09,
2387,19.53,5.43,8.41,1.13,7.88,-4.92,10.05,,,,2024/09,
2388,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2392,51.23,2.63,16.35,1.19,-16.08,-4.99,412.49,,,,2024/09,
2393,44.34,8.40,17.89,2.0,15.95,-8.89,69.46,,,,2024/09,
2397,11.45,2.79,38.0,3.38,-32.84,-4.78,-39.69,,,,2024/09,
2399,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2401,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2402,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2404,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2405,34.34,0.64,235.56,1.96,-17.16,2.32,223.51,,,,2024/09,
2406,35.09,-1.27,0.0,1.67,80.51,1.15,79.32,,,,2024/09,
2408,309.86,-1.21,0.0,0.77,-5.12,-7.76,17.62,,,,2024/09,
2409,769.94,-2.36,0.0,0.83,5.3,-4.23,75.93,,9月營收258.72億元，10/31法說會,,2024/09,
2412,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
2417,--,--,0.0,0.0,0.0,0.0,0.0,,,,--,
